Stop ID,Stop Name,Stop Duration,Longitude,Latitude
0,Prince George's Park,420,103.780391,1.291792
1,PGP Hse 15,30,103.777807,1.293121
2,TCOMS,30,103.776531,1.293716
3,Opp HSSML,30,103.774952,1.29278
4,Opp NUSS,30,103.772392,1.293307
5,Ventus (Opp LT13),30,103.770589,1.295303
6,Information Technology,30,103.77271,1.297215
7,Opp YIH,30,103.774189,1.298976
8,Museum,30,103.7737,1.301085
9,University Health Centre,30,103.776115,1.298906
10,Opp UHall,30,103.77812,1.297487
11,S17,30,103.781342,1.297507
12,Opp Kent Ridge MRT,30,103.785066,1.293788
13,Kent Ridge MRT,30,103.784902,1.293703
14,LT27,30,103.780956,1.297366
15,UHall,30,103.777982,1.297484
16,Opp University Health Centre,30,103.775619,1.298808
17,YIH,30,103.774375,1.298906
18,Central Library,30,103.772543,1.296588
19,LT13,30,103.770601,1.294847
20,AS5,30,103.771791,1.293504
21,COM2,30,103.773763,1.294301
22,BIZ 2,30,103.775222,1.293683
23,Opp TCOMS,30,103.776972,1.293755
24,PGP Hse 7,30,103.777811,1.293199
25,University Town,45,103.77446,1.30363
26,Prince George's Park Residence,30,103.780949,1.291004
27,Kent Ridge Bus Terminal,600,103.76987,1.294255
28,Raffles Hall,30,103.772707,1.300992
29,EA,30,103.770164,1.300606
30,The Japanese Primary School,30,103.76995,1.300754
31,Kent Vale,30,103.769095,1.302129
